,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
23508,0,136,50,1,8,3,0.6000000000000006,12.000000000000004,0,2.2,16,9
23509,3,136,50,0,9,1,1.199999999999998,11.99999999999998,1,0.9,24,9
23708,3,137,50,0,12,2,2.999999999999998,29.99999999999997,4,0.9,32,12
23709,2,137,50,0,9,0,1.1999999999999995,11.999999999999996,0,1.0,30,9
23908,0,138,50,1,7,4,5.828670879282072e-16,6.000000000000005,0,2.2,21,8
23909,1,138,50,0,11,0,2.399999999999998,23.99999999999998,1,0.9,28,11
24108,0,139,50,1,8,3,0.6000000000000008,12.000000000000004,0,2.2,22,9
24109,3,139,50,0,9,3,1.1999999999999968,11.999999999999968,0,1.0,22,9
24167,3,140,15,0,3,0,1.1,10.999999999999998,0,0.0,7,3
24168,1,140,15,0,1,0,0.0,0.0,0,-1.0,11,1
24367,1,141,50,1,8,1,0.5999999999999995,11.999999999999996,0,1.8,25,9
24368,3,141,50,0,12,1,2.999999999999997,29.999999999999968,0,1.0,22,12
24400,0,142,8,0,0,1,1.3877787807814454e-16,1.3877787807814457e-15,0,0.0,7,0
24401,1,142,9,1,0,0,0.0,5.000000000000001,0,0.2,8,1
24597,3,143,49,0,11,4,2.499999999999997,24.999999999999968,4,0.0999999999999999,28,11
24598,1,143,50,0,7,0,0.0,0.0,0,0.0,29,7
24797,0,144,50,0,8,6,0.6000000000000006,6.000000000000006,2,1.9,27,8
24798,1,144,50,1,8,0,0.599999999999998,11.99999999999998,0,1.8,20,9
24997,0,145,50,0,8,4,0.600000000000001,6.00000000000001,4,1.1,25,8
24998,2,145,50,0,9,0,1.1999999999999975,11.999999999999975,0,1.0,30,9
25197,1,146,50,0,8,0,0.6,5.999999999999999,0,1.0,21,8
25198,3,146,50,1,11,2,2.399999999999997,29.99999999999997,0,1.8,22,12
25397,3,147,50,1,9,1,1.1999999999999984,17.999999999999982,0,1.8,21,10
25398,1,147,50,0,10,0,1.7999999999999972,17.99999999999997,1,0.9,21,10
25430,3,148,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,0,0.0,6,0
25431,3,148,9,0,1,0,0.6,5.999999999999999,3,-1.1,7,1
25533,3,149,26,0,6,1,1.799999999999999,17.99999999999999,0,0.0,12,6
25534,1,149,26,1,3,0,0.0,5.999999999999995,0,0.2,15,4
25660,0,150,32,0,5,0,0.6000000000000006,6.000000000000006,0,0.0,17,5
25661,1,150,32,1,4,1,0.0,5.999999999999997,0,0.2,18,5
25694,1,151,9,0,2,0,1.1,10.999999999999998,0,0.0,5,2
25695,3,151,9,0,0,0,0.0,0.0,3,-1.1,5,0
25777,3,152,21,0,5,2,1.6999999999999993,16.999999999999993,4,0.0999999999999999,13,5
25778,0,152,21,1,2,3,0.0,5.000000000000003,0,0.2,15,3
25977,1,153,50,1,10,0,1.7999999999999967,23.999999999999968,0,1.8,19,11
25978,2,153,50,0,11,0,2.399999999999997,23.999999999999968,0,1.0,20,11
26177,1,154,50,0,8,0,0.5999999999999984,5.999999999999984,1,0.9,21,8
26178,2,154,50,0,11,0,2.399999999999997,23.999999999999968,0,1.0,27,11
26330,1,155,38,0,6,1,0.5999999999999995,5.999999999999995,1,0.4,24,6
26331,0,155,39,0,6,5,0.6,5.999999999999999,0,-1.0,27,6
26530,3,156,50,0,11,1,2.399999999999998,23.99999999999998,0,1.0,21,11
26531,1,156,50,0,9,0,1.1999999999999982,11.99999999999998,0,1.0,18,9
26730,2,157,50,0,9,0,1.1999999999999988,11.999999999999988,1,1.4,20,9
26731,1,157,50,0,9,0,1.199999999999997,11.99999999999997,1,0.9,27,9
26930,0,158,50,0,8,5,0.6000000000000008,6.000000000000007,4,1.1,29,8
26931,3,158,50,0,11,0,2.399999999999997,23.999999999999968,0,1.0,30,11
27109,2,159,45,1,9,1,1.699999999999998,22.99999999999998,0,0.8,26,10
27110,0,159,45,0,6,3,0.0,0.0,1,-1.1,25,6
27309,1,160,50,0,11,0,2.3999999999999977,23.99999999999997,0,1.0,21,11
27310,3,160,50,0,9,2,1.1999999999999975,11.999999999999975,0,1.0,17,9
27509,0,161,50,1,8,2,0.600000000000001,12.00000000000001,0,2.2,15,9
27510,2,161,50,0,11,0,2.399999999999997,23.99999999999997,0,1.0,21,11
27709,0,162,50,0,8,5,0.6000000000000011,6.000000000000011,0,1.0,22,8
27710,3,162,50,0,12,0,2.9999999999999964,29.999999999999964,0,1.0,25,12
27909,3,163,50,1,10,2,1.7999999999999967,23.999999999999968,0,1.8,25,11
27910,0,163,50,0,8,4,0.6000000000000005,6.000000000000005,4,0.9,17,8
28109,1,164,50,0,10,0,1.799999999999998,17.99999999999998,1,0.9,27,10
28110,2,164,50,1,9,0,1.199999999999998,17.99999999999998,0,1.8,17,10
28309,0,165,50,0,8,5,0.6000000000000004,6.000000000000004,4,1.1,32,8
28310,2,165,50,0,11,0,2.399999999999997,23.99999999999997,0,1.0,25,11
28366,1,166,14,1,2,0,0.6000000000000001,12.000000000000002,0,0.8,11,3
28367,0,166,15,0,1,2,0.0,0.0,2,-1.1,10,1
28566,2,167,50,0,11,0,2.399999999999997,23.999999999999968,3,0.9,28,11
28567,3,167,50,0,9,1,1.1999999999999995,11.999999999999996,3,1.1,21,9
28766,1,168,50,0,11,0,2.399999999999998,23.99999999999998,1,0.9,21,11
28767,2,168,50,1,9,0,1.1999999999999984,17.999999999999982,0,1.8,21,10
28898,3,169,33,0,8,0,2.2999999999999985,22.999999999999982,1,0.4,15,8
