agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
0,136,9,1,0,0,0.0,5.000000000000001,2,-1.0,3,1
0,137,9,1,5,0,2.9,35.0,2,0.0,6,6
1,137,9,2,0,0,0.0,11.0,2,-1.0,4,2
1,138,8,1,0,0,1.3877787807814454e-16,6.000000000000001,0,0.0,3,1
1,138,9,1,0,0,0.0,5.000000000000001,2,-1.0,3,1
0,139,50,5,10,7,1.7999999999999972,47.99999999999997,1,2.0,19,15
1,139,50,0,9,0,1.2000000000000002,12.000000000000002,2,0.8,10,9
1,140,50,0,10,0,1.7999999999999985,17.999999999999982,2,1.0,7,10
0,140,50,2,12,10,2.999999999999997,41.999999999999964,3,2.0,24,14
0,141,15,1,5,1,2.3,29.0,5,1.0,11,6
1,141,15,0,1,0,0.0,0.0,2,-1.2,3,1
0,142,27,0,4,3,0.5,5.0,0,0.0,8,4
1,142,27,0,3,0,0.0,0.0,2,-1.2,4,3
0,143,33,0,6,4,1.099999999999998,10.99999999999998,4,-0.2,14,6
1,143,33,0,4,0,0.0,0.0,2,-1.2,3,4
1,144,20,0,2,0,1.3877787807814454e-16,1.3877787807814457e-15,0,0.0,4,2
1,144,21,0,2,0,0.0,0.0,2,-1.0,4,2
0,145,8,3,1,0,0.6000000000000002,24.0,5,2.0,6,4
1,145,9,1,0,0,0.0,5.000000000000001,2,-1.0,4,1
0,146,32,0,8,2,2.399999999999998,23.99999999999998,4,-0.2,14,8
1,146,32,0,4,1,0.0,0.0,2,-1.2,8,4
0,147,9,0,3,0,1.7000000000000002,17.0,5,1.0,6,3
1,147,9,0,0,0,0.0,0.0,2,-1.2,3,0
0,148,8,1,4,0,2.3999999999999995,29.999999999999996,5,2.0,4,5
1,148,9,2,0,0,0.0,11.0,2,-1.0,5,2
0,149,9,0,1,0,0.5000000000000001,5.000000000000001,2,0.0,5,1
1,149,9,0,0,0,0.0,0.0,2,-1.2,4,0
1,150,20,1,2,0,2.498001805406602e-16,6.000000000000002,0,0.0,4,3
1,150,21,1,2,0,0.0,5.000000000000002,2,-1.0,4,3
0,151,14,1,3,1,1.2000000000000002,18.0,5,1.0,6,4
1,151,15,0,1,0,0.0,0.0,2,-1.2,3,1
1,152,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,2,-0.2,3,0
0,152,9,1,0,0,0.0,5.000000000000001,4,-1.2,3,1
1,153,14,0,1,0,2.498001805406602e-16,2.4980018054066026e-15,2,-0.2,4,1
1,153,15,0,1,0,0.0,0.0,2,-1.2,4,1
0,154,9,1,2,0,1.0999999999999996,16.999999999999996,1,0.0,6,3
1,154,9,1,0,0,0.0,5.000000000000001,2,-1.0,4,1
0,155,20,0,5,1,1.7999999999999985,17.999999999999982,2,0.0,7,5
1,155,20,0,2,0,0.0,0.0,2,-1.2,5,2
0,156,15,3,2,1,0.5000000000000001,23.0,5,1.0,9,5
1,156,15,0,1,0,0.0,0.0,2,-1.2,3,1
1,157,31,1,4,0,0.0999999999999998,6.999999999999997,2,-0.2,4,5
1,157,32,1,4,0,0.0,5.999999999999997,2,-1.2,4,5
0,158,9,0,1,0,0.5000000000000001,5.000000000000001,4,-0.2,4,1
1,158,9,0,0,0,0.0,0.0,2,-1.2,4,0
0,159,21,0,6,1,2.299999999999999,22.99999999999999,4,-0.2,10,6
1,159,21,0,2,0,0.0,0.0,2,-1.2,6,2
0,160,9,0,1,0,0.5000000000000001,5.000000000000001,4,-0.2,4,1
1,160,9,0,0,0,0.0,0.0,2,-1.2,4,0
0,161,14,1,4,1,1.7999999999999994,23.999999999999996,3,0.0,7,5
1,161,15,1,1,0,0.0,5.000000000000001,2,-1.0,3,2
1,162,50,0,8,0,0.6000000000000002,6.000000000000002,1,1.0,5,8
0,162,50,2,9,8,1.1999999999999966,23.999999999999968,0,2.0,17,11
0,163,9,0,2,0,1.1,11.0,0,0.0,4,2
1,163,9,0,0,0,0.0,0.0,2,-1.2,2,0
0,164,50,0,12,7,2.9999999999999973,29.99999999999997,4,0.8,20,12
1,164,50,0,7,0,1.3877787807814454e-16,1.3877787807814457e-15,2,1.0,6,7
0,165,26,0,6,3,1.7999999999999985,17.999999999999982,5,1.0,6,6
1,165,27,0,3,0,0.0,0.0,2,-1.2,3,3
0,166,15,0,2,1,0.4999999999999998,4.999999999999997,4,-0.2,7,2
1,166,15,0,1,0,0.0,0.0,2,-1.2,3,1
1,167,14,1,1,0,1.3877787807814454e-16,6.000000000000001,2,0.0,7,2
1,167,15,1,2,0,0.6,11.999999999999998,0,-1.0,7,3
0,168,9,4,2,0,1.1,35.0,5,1.0,8,6
1,168,9,1,0,0,0.0,5.000000000000001,2,-1.2,4,1
0,169,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,2,0.0,4,0
0,169,9,1,0,0,0.0,5.000000000000001,2,0.0,4,1
0,170,9,2,2,0,1.1,23.0,5,1.0,6,4
1,170,9,0,0,0,0.0,0.0,3,-1.2,3,0
1,171,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,3,-0.2,4,0
1,171,9,0,0,0,0.0,0.0,3,-1.2,4,0
0,172,50,2,11,7,2.399999999999997,35.999999999999964,5,2.0,16,13
1,172,50,0,9,0,1.1999999999999995,11.999999999999996,2,0.8,9,9
1,173,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,2,-0.2,3,0
1,173,9,0,0,0,0.0,0.0,2,-1.2,3,0
0,174,9,4,2,0,1.0999999999999996,34.99999999999999,0,1.0,6,6
1,174,9,1,0,0,0.0,5.000000000000001,2,-1.2,4,1
0,175,9,1,3,0,1.6999999999999993,22.999999999999996,0,1.0,3,4
1,175,9,2,0,0,0.0,11.0,0,-1.0,3,2
0,176,20,1,2,2,1.3877787807814454e-16,6.000000000000001,0,0.0,7,3
0,176,21,1,2,2,0.0,5.000000000000001,0,-1.0,7,3
1,177,8,1,0,0,1.3877787807814454e-16,6.000000000000001,2,-0.2,3,1
1,177,9,1,0,0,0.0,5.000000000000001,2,-1.2,3,1
1,178,26,1,3,0,1.3877787807814454e-16,6.000000000000001,0,0.0,4,4
0,178,26,1,3,3,0.0,5.999999999999997,1,0.0,10,4
1,179,50,0,9,0,1.1999999999999995,11.999999999999996,2,0.8,6,9
0,179,50,1,12,9,2.9999999999999973,35.99999999999997,5,3.0,17,13
1,180,20,0,2,0,3.6082248300317592e-16,3.608224830031759e-15,2,-0.2,7,2
1,180,21,0,2,0,0.0,0.0,3,-1.2,7,2
0,181,15,0,2,1,0.5000000000000001,5.000000000000001,2,0.0,7,2
1,181,15,0,1,0,0.0,0.0,2,-1.2,4,1
0,182,9,2,2,0,1.1,23.0,2,1.0,5,4
1,182,9,1,0,0,0.0,5.000000000000001,2,-1.0,4,1
1,183,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,2,-0.2,2,0
1,183,9,0,0,0,0.0,0.0,2,-1.2,2,0
0,184,9,0,1,0,0.5000000000000002,5.000000000000002,4,-0.2,5,1
1,184,9,0,0,0,0.0,0.0,2,-1.2,3,0
0,185,8,2,1,0,0.6000000000000002,18.0,5,1.0,4,3
1,185,9,0,0,0,0.0,0.0,5,-1.2,4,0
0,186,9,0,1,0,0.5000000000000002,5.000000000000002,0,0.0,4,1
1,186,9,0,0,0,0.0,0.0,2,-1.2,3,0
0,187,26,1,5,2,1.1999999999999984,17.999999999999982,3,1.0,12,6
1,187,27,0,3,0,0.0,0.0,2,-1.2,6,3
1,188,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,2,-0.2,3,0
0,188,9,0,0,0,0.0,0.0,0,-1.2,4,0
1,189,50,0,8,0,0.5999999999999998,5.999999999999997,2,1.0,4,8
0,189,50,3,12,8,2.999999999999997,47.99999999999997,3,2.0,17,15
